id,language,source,subject,question,answer,score,test
259,en,human,ml-basic,"Explain precision and recall metrics, their semantics.",precision focuses on the correctness of positive prediction (low false positive) recall focuses on how well the model captures actual positives (low false negative),1,h03
260,en,human,ml-basic,"Explain precision and recall metrics, their semantics.",precision - prediction positive observation over total [TP/TP+FP] | recall - correctly prediction over  all actual positive [TP/TP+FN],1,h03
261,en,human,ml-basic,Describe method to maximize precision,"Find the object with highest confidence or probability for predicting the positive class, and the rest predict them the negative class. In this case you minimize false positives and maximize precision.",1,h03
262,en,human,ml-basic,Describe method to maximize precision,we classify only point with highest probability as positive,1,h03
263,en,human,ml-basic,Describe method to maximize precision,we can return only one (or few) positive sample and make sure that it is correct.,1,h03
264,en,human,ml-basic,Describe method to maximize precision,Select the most confidence value and set it as positive and label others as negative. This will minimize the FP,1,h03
265,en,human,ml-basic,Describe method to maximize precision,call everything as false except the most confident predicted true,1,h03
266,en,human,ml-basic,Describe method to maximize precision,set different learning rates sample weights or boosting rounds  the model can get positive predictions right more often at the cost of recall,0,h03
267,en,human,ml-basic,Describe method to maximize precision,Make FP = 0,0,h03
268,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,adding penalty term,0,h02
269,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,.,0,h02
270,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,(y - x(omega)) + Lambda * (sum of (omega) ^ 2),0,h02
271,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,w = (X^T * X + λI)^(−1)  * X^T* y,1,h02
272,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,it can have problem with large dataset.,0,h02
273,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,w = (X_t X + lambda(I))^(-1) X_t Y,1,h02
274,en,human,ml-basic,Linear regression problem solution (in terms of parameters) with L2 regularization,Prevent overfitting,0,h02
275,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,sums getting rounded creates problem where for many values result is far from true result,0,h02
276,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,The precision error makes the calculation wrong badly,0,h02
277,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,It can't be cut to 0,0,h02
278,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,non-stable if there are collinear features,0,h02
279,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,it cause computationally expensive for large datasets.,1,h02
280,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,it is biased toward lambda. Not 'best linear unbiased estimator',0,h02
281,en,human,ml-basic,What are problems of this solution? Why don't we want to use it?,Null,0,h02
282,en,human,ml-basic,"Purposes of each of train, val, test sets","train for training, val for valudation during training (training feedback), test for testing after training is done (quality test)",1,h02
283,en,human,ml-basic,"Purposes of each of train, val, test sets",Train is to change the parameter Val is to change hyperparameter Test is to test the goodness of model,1,h02
284,en,human,ml-basic,"Purposes of each of train, val, test sets","train: to formulate the relationship between data by adjusting parameters, val: for adjusting hyperparameter, test: to get the quality of the model",1,h02
285,en,human,ml-basic,"Purposes of each of train, val, test sets","train - train the model by finding the parameters; validation - choose the best model by finding the best hyperparameters, test - evaluate the final model's performance to an unseen dataset",1,h02
286,en,human,ml-basic,"Purposes of each of train, val, test sets","train-to train model, val-to validation,  test-is to test","0,5",h02
287,en,human,ml-basic,"Purposes of each of train, val, test sets","Train: improve model parameters, Val: measure model performance during training, Test: assess the final model’s performance and generalization to unseen data.",1,h02
288,en,human,ml-basic,"Purposes of each of train, val, test sets","train - for training the model, val - validate the trained model, test - to test model that has been trained","0,5",h02
289,en,human,ml-basic,Formulate Gauss-Markov theorem,errors have equal Var and BLUE is given by ordinary least square,1,h02
290,en,human,ml-basic,Formulate Gauss-Markov theorem,w_hat = (X^T * X)^-1 * X^T * Y,0,h02
291,en,human,ml-basic,Formulate Gauss-Markov theorem,(Xt X) ^ -1 Xy,0,h02
292,en,human,ml-basic,Formulate Gauss-Markov theorem,Minimizing the mean squared error loss will give you the best linear unbiased estimation (blue),1,h02
293,en,human,ml-basic,Formulate Gauss-Markov theorem,E(w*) = w true,0,h02
294,en,human,ml-basic,Formulate Gauss-Markov theorem,the solution for linear regression generated from least square error is the best linear unbiased estimator,1,h02
295,en,human,ml-basic,Formulate Gauss-Markov theorem,Null,0,h02
296,en,human,ml-basic,What is different in parameters and hyperparameters?,hyperparameters are set before training (k in KNN) parameters are set during training (weights),1,h02
297,en,human,ml-basic,What is different in parameters and hyperparameters?,para is impact on complexity of model hyperpara don't,"0,5",h02
298,en,human,ml-basic,What is different in parameters and hyperparameters?,parameter is the part of the model but hyperparameter is not,"0,5",h02
299,en,human,ml-basic,What is different in parameters and hyperparameters?,"Parameters are learned from the data during training, while hyperparameters are predefined settings that control the training process.",1,h02
300,en,human,ml-basic,What is different in parameters and hyperparameters?,parameters is variables of a model during train,"0,5",h02
301,en,human,ml-basic,What is different in parameters and hyperparameters?,"hyperparameters is model's characteristics predefined before training and directly impact model's complexity. Parameters are inside models, tuned to describe dataset.",1,h02
302,en,human,ml-basic,What is different in parameters and hyperparameters?,Parameters are the variable set during the training process while hyperparameters are external variable set before model training,1,h02
303,en,human,ml-basic,Explain how GroupKFold works. Give examples.,"each group gets divided into train, val, test to have equal representations of groups in out data",0,h02
304,en,human,ml-basic,Explain how GroupKFold works. Give examples.,Split train and Val by group each fold has unique set of group that does not belong in other group. Example : test from the same person is in one group,1,h02
305,en,human,ml-basic,Explain how GroupKFold works. Give examples.,-,0,h02
306,en,human,ml-basic,Explain how GroupKFold works. Give examples.,GroupKFold splits data based on groups which makes sure that each group appears in only one fold for training of the cross-validation. Example is healthcare with multiple test results such as x-ray images before and after covid.,1,h02
307,en,human,ml-basic,Explain how GroupKFold works. Give examples.,-,0,h02
308,en,human,ml-basic,Explain how GroupKFold works. Give examples.,"When we have multiple records for different samples, for example dataset of patients where each patient under go multiple operations. We want to make sure that the same group is not represented in both testing and training sets to make sure models can generalize to new subject.","0,5",h02
309,en,human,ml-basic,Explain how GroupKFold works. Give examples.,Null,0,h02
310,en,human,ml-basic,what is the result of applying MLE?,parameter value that maximizes the likelihood of the observed data,1,h01
311,en,human,ml-basic,what is the result of applying MLE?,Get the estimated result with the highest probability,"0,5",h01
312,en,human,ml-basic,what is the result of applying MLE?,estimates of parameters,1,h01
313,en,human,ml-basic,what is the result of applying MLE?,We can find parameters that maximize the probability of observing our dataset,"0,5",h01
314,en,human,ml-basic,what is the result of applying MLE?,have parameters that make the observed data most probable under the assumed model.,"0,7",h01
315,en,human,ml-basic,what is the result of applying MLE?,.,0,h01
316,en,human,ml-basic,name three sources of datasets,"Kaggle, Hugging Face, Google Datasets",1,h01
317,en,human,ml-basic,name three sources of datasets,"Kaggle, Google open data source, collecting it yourself.","0,5",h01
318,en,human,ml-basic,name three sources of datasets,"Kaggle, Hugging face, google",1,h01
319,en,human,ml-basic,name three sources of datasets,"dataset search google, kaggle, paper with code",1,h01
320,en,human,ml-basic,name three sources of datasets,idk,0,h01
321,en,human,ml-basic,name three sources of datasets,"Online(like kaggle), Make it yourself, The sample from libraries","0,3",h01
322,en,human,ml-basic,which dimension of dataset shows number of objects?,the first dimension,1,h01
323,en,human,ml-basic,which dimension of dataset shows number of objects?,column,0,h01
324,en,human,ml-basic,which dimension of dataset shows number of objects?,number of rows,1,h01
325,en,human,ml-basic,which dimension of dataset shows number of objects?,row,1,h01
326,en,human,ml-basic,which dimension of dataset shows number of objects?,idk,0,h01
327,en,human,ml-basic,which dimension of dataset shows number of objects?,row,1,h01
328,en,human,ml-basic,Formulate Bayes theorem (aka formula),P(Y | X) =  P(X) * P(X | Y) / P(Y),0,h01
329,en,human,ml-basic,Formulate Bayes theorem (aka formula),p(a|b) = p(b|a) x p(b) / p(a),0,h01
330,en,human,ml-basic,Formulate Bayes theorem (aka formula),p(a|b) = p(a)p(b|a) / p(b). in words probablity of a given that b is true is same as probability of both a and b happening over probability of b,1,h01
331,en,human,ml-basic,Formulate Bayes theorem (aka formula),P(y=c_k  | x) = P(x | y=c_k)P(y=c_k) / P(x),1,h01
332,en,human,ml-basic,Formulate Bayes theorem (aka formula),P(A∣B)=  P(B∣A)⋅P(A) ​/ P(B),1,h01
333,en,human,ml-basic,Formulate Bayes theorem (aka formula),P(A|B) = P(B|A) * P(A) / P(B),1,h01
334,en,human,ml-basic,why naive Bayes algorithm is naive?,Because features are conditionally independent,1,h01
335,en,human,ml-basic,why naive Bayes algorithm is naive?,We assume that the features are independent,1,h01
336,en,human,ml-basic,why naive Bayes algorithm is naive?,naive assumption is that all features are independant,1,h01
337,en,human,ml-basic,why naive Bayes algorithm is naive?,because of the naive assumption that features are independent,1,h01
338,en,human,ml-basic,why naive Bayes algorithm is naive?,simplify the assumption that features are independent,1,h01
339,en,human,ml-basic,why naive Bayes algorithm is naive?,it simplifies,0,h01
340,en,human,ml-basic,Can we use naive Bayes for regression? Why?,"No. We can turn the regression problem into a classification problem but Naive Bayes out of the box cannot be used for regression. The reason is it makes the assumption of conditional independence of features given the class, which is absent from a regression problem.",1,h01
341,en,human,ml-basic,Can we use naive Bayes for regression? Why?,No because regression might not follow the naive assumption and naive Bayes trend to work well with classification task.,1,h01
342,en,human,ml-basic,Can we use naive Bayes for regression? Why?,if we convert probability into probability density then yes but generally no,0,h01
343,en,human,ml-basic,Can we use naive Bayes for regression? Why?,We can. just need to fit distribution to target values too,0,h01
344,en,human,ml-basic,Can we use naive Bayes for regression? Why?,idk,0,h01
345,en,human,ml-basic,Can we use naive Bayes for regression? Why?,.,0,h01
